a,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565
1539,4.016729235450976e-09,3.79353094484464e-09,3.541041634060476e-09,3.207990968472642e-09,2.8126834507750646e-09,2.344167611462994e-09,1.98185752044353e-09,1.7294098086794962e-09,1.6234703877232605e-09,inf,1.889101718261032e-09,1.841606958403523e-09,1.9886963419489494e-09,2.2348893440863528e-09,2.705016812086935e-09,3.325625930349866e-09,3.9462336893550916e-09,4.419975083771657e-09,4.798259491964277e-09,5.026021109334637e-09,5.1657007660126015e-09,5.20625967928912e-09,5.221102501262757e-09,5.191921050135304e-09,5.203114749008137e-09,5.172832744936896e-09,5.1321664556549104e-09,5.087821756055351e-09,5.039802388244809e-09,4.9623388711252016e-09,4.877525751165505e-09,4.803751431719043e-09,4.700542551082286e-09,4.630457405753107e-09,4.534607504056499e-09,4.435092298864631e-09
1540,4.071784215290185e-09,4.006245119053492e-09,3.783635857982509e-09,3.5318111622407887e-09,3.1996341094286986e-09,2.8053611417361024e-09,2.3380689672476133e-09,1.9767048224325694e-09,1.7249163786167976e-09,1.6192549523932131e-09,inf,1.884202915733943e-09,1.836834412913685e-09,1.983545949463319e-09,2.22910509776349e-09,2.69802032868187e-09,3.317029809659165e-09,3.936040000935265e-09,4.408565021739675e-09,4.7858808863690246e-09,5.013063278858255e-09,5.152391398969671e-09,5.192854447285942e-09,5.207667699597923e-09,5.1785699260866e-09,5.189743436291185e-09,5.159547788080422e-09,5.118994395825357e-09,5.074771883307157e-09,5.0268839651805885e-09,4.949627154637485e-09,4.8650392916437794e-09,4.791461699778658e-09,4.688524551344394e-09,4.618626156846007e-09,4.523028556871753e-09
1541,4.046363132949e-09,4.0611563991850345e-09,3.995795186254632e-09,3.773773013155402e-09,3.522610747294882e-09,3.1913044448322827e-09,2.798062645069124e-09,2.3319901431178507e-09,1.971568859383428e-09,1.720437532868342e-09,1.6150531902148522e-09,inf,1.879319982333637e-09,1.8320773175451947e-09,1.978412219511643e-09,2.223339552516245e-09,2.6910464510248402e-09,3.3084614452335727e-09,3.9258792059715255e-09,4.397191754467126e-09,4.773542173129134e-09,5.0001471804991044e-09,5.139124868614079e-09,5.1794923327599896e-09,5.194276082739662e-09,5.165261690299277e-09,5.176415049110144e-09,5.146305452169215e-09,5.1058645676459936e-09,5.061763823646745e-09,5.014006907518558e-09,4.936956115617502e-09,4.852592763212074e-09,4.779211244681979e-09,4.676544935485042e-09,4.60683267123818e-09
1542,3.973808311108507e-09,4.035801668736295e-09,4.050563235213292e-09,3.98537930339429e-09,3.76394228437695e-09,3.513440271851385e-09,3.183001868558804e-09,2.790787867908269e-09,2.325931061827569e-09,1.9664495661161702e-09,1.715973214667459e-09,1.610865048002537e-09,inf,1.874452856412531e-09,1.827335612317034e-09,1.973295087447865e-09,2.2175926358364643e-09,2.6840950915250147e-09,3.299920729594893e-09,3.915751177175519e-09,4.385855139660494e-09,4.761243198071363e-09,4.98727265307757e-09,5.125901009606537e-09,5.166173169395164e-09,5.180927484219182e-09,5.151996177553833e-09,5.163129422208015e-09,5.1331055732241215e-09,5.092776808739549e-09,5.048797416409148e-09,5.00117105641569e-09,4.924325597963781e-09,4.84018601273112e-09,4.766999915895068e-09,4.6646035564866065e-09
1543,3.872579148530949e-09,3.963436223165097e-09,4.025274640315783e-09,4.040004587882839e-09,3.974997337421683e-09,3.754143546234758e-09,3.504299619073301e-09,3.1747262749665165e-09,2.7835367178099334e-09,2.319891646481637e-09,1.961346877746836e-09,1.7115233675050903e-09,1.6066904728118307e-09,inf,1.8696014766022616e-09,1.8226092375196837e-09,1.9681944889183476e-09,2.211864275543764e-09,2.677166162987276e-09,3.2914075557501563e-09,3.905655787833181e-09,4.37455503566784e-09,4.74898380771717e-09,4.974439536139851e-09,5.112719657351791e-09,5.152896791623359e-09,5.1676217383158874e-09,5.138773223372838e-09,5.149886391069575e-09,5.119947988001554e-09,5.079730957456681e-09,5.035872501649177e-09,4.98837625374011e-09,4.911735446273315e-09,4.827818887746418e-09,4.754827563556638e-09
1544,3.746558191177124e-09,3.862471280120666e-09,3.953097953550077e-09,4.014781913041259e-09,4.029480322319244e-09,3.964649155892179e-09,3.7443766738874065e-09,3.4951886726552306e-09,3.166477558894031e-09,2.776309102750569e-09,2.3138718205341062e-09,1.9562607296859218e-09,1.7070879351284553e-09,1.602529411938255e-09,inf,1.8647657818122396e-09,1.8178981337137128e-09,1.9631103598603618e-09,2.206154399783843e-09,2.670259578610154e-09,3.2829218171891145e-09,3.895592911801798e-09,4.3632913014755026e-09,4.736763849279131e-09,4.961647669954197e-09,5.099580647994831e-09,5.139663034620569e-09,5.154358680053511e-09,5.125592664017152e-09,5.1366857919175776e-09,5.1068325339897325e-09,5.066726852872226e-09,5.02298892013774e-09,4.9756223420674824e-09,4.899185505837951e-09,4.8154912364847074e-09
1545,3.6283511178458817e-09,3.736779251680884e-09,3.852396368547525e-09,3.9427933700315645e-09,4.004323352880338e-09,4.0189903042625325e-09,3.954334626964146e-09,3.734641543061499e-09,3.4861073168206057e-09,3.158255615657799e-09,2.769104931124515e-09,2.3078715077864024e-09,1.951191057636842e-09,1.702666861539723e-09,1.598381812916043e-09,inf,1.859945711228216e-09,1.813202241728388e-09,1.9580426365005903e-09,2.2004629370267956e-09,2.6633752519838083e-09,3.274463407881766e-09,3.885562423507026e-09,4.35206379670481e-09,4.724583170657388e-09,4.948896895507231e-09,5.08648381841707e-09,5.126471734303105e-09,5.141138145196291e-09,5.112454336482112e-09,5.1235274617089575e-09,5.0937590494049206e-09,5.05376433478151e-09,5.010146513358179e-09,4.962909164677361e-09,4.8866756226408625e-09
1546,3.5467122005684765e-09,3.6188807121449685e-09,3.72703219654476e-09,3.8423542849481395e-09,3.932522340980495e-09,3.9938988264112666e-09,4.008534400064001e-09,3.9440536193958155e-09,3.7249380300486943e-09,3.477055436318943e-09,3.150060341049649e-09,2.7619241117418234e-09,2.301890632385518e-09,1.946137797594419e-09,1.6982600909946922e-09,1.5942476235169047e-09,inf,1.8551412043108491e-09,1.8085215026602854e-09,1.9529912553536294e-09,2.194789816065448e-09,2.6565130970880117e-09,3.26603222227587e-09,3.87556419794001e-09,4.340872381608816e-09,4.7124416204361195e-09,4.936187054500232e-09,5.073429006232561e-09,5.113322727323792e-09,5.127959970245194e-09,5.099358078493788e-09,5.110411238131094e-09,5.080727373187716e-09,5.040843243696659e-09,4.997345123502621e-09,4.950236565549629e-09
1547,3.4690550494408293e-09,3.5374548816506437e-09,3.609441184825697e-09,3.717316901098822e-09,3.832344901046575e-09,3.922284735367484e-09,3.983508200819736e-09,3.9981124766830225e-09,3.933806002542172e-09,3.7152660117027864e-09,3.4680329164231116e-09,3.141891631334313e-09,2.7547665538261025e-09,2.295929118822233e-09,1.9411008858433697e-09,1.6938675680014768e-09,1.5901267917488006e-09,inf,1.8503522007942923e-09,1.8038558578719064e-09,1.9479561532205086e-09,2.1891349660136788e-09,2.6496730282901354e-09,3.2576281552944976e-09,3.8655981106544426e-09,4.329716917069056e-09,4.700339047880027e-09,4.923517989345482e-09,5.060416049784246e-09,5.10021585106818e-09,5.114823992434125e-09,5.086303728505239e-09,5.09733695959806e-09,5.06773734499933e-09,5.027963420842924e-09,4.984584593468382e-09
1548,3.373864188988276e-09,3.4600004244472814e-09,3.5282277463422144e-09,3.6000324151515748e-09,3.707633241241466e-09,3.822368089151293e-09,3.912080422759695e-09,3.973151343895725e-09,3.9877244016839045e-09,3.923591646351834e-09,3.7056253654367626e-09,3.4590396429266276e-09,3.1337493832469788e-09,2.747632167012382e-09,2.2899868919293246e-09,1.9360802589568116e-09,1.6894892373192065e-09,1.5860192658547237e-09,inf,1.845578640684777e-09,1.7992052489903166e-09,1.9429372671872087e-09,2.1834983163047866e-09,2.6428549603431604e-09,3.2492511023335762e-09,3.855664037763685e-09,4.318597264592314e-09,4.688275302930828e-09,4.9108895431626066e-09,5.047444788140224e-09,5.0871509436507995e-09,5.101730049726184e-09,5.073291125692781e-09,5.084304465246895e-09,5.0547888052179224e-09,5.015124708155066e-09
1549,3.27558281447159e-09,3.365058022878179e-09,3.4509753221769452e-09,3.5190306766232963e-09,3.5906542829365162e-09,3.697981093436488e-09,3.812423722152122e-09,3.90190927331775e-09,3.9628281240303655e-09,3.977370043232732e-09,3.9134104213640025e-09,3.696015969219944e-09,3.4500755021409452e-09,3.1256334939908492e-09,2.7405208613449763e-09,2.284063876879804e-09,1.931075853794765e-09,1.685125043956726e-09,1.581924994311482e-09,inf,1.8408204642592142e-09,1.7945696179057732e-09,1.937934534623199e-09,2.177879796689829e-09,2.636058808383691e-09,3.240900959259473e-09,3.845761855937902e-09,4.307513286307422e-09,4.6762502362038114e-09,4.898301559774961e-09,5.034515061090026e-09,5.074127843911426e-09,5.0886779808099285e-09,5.060320109952317e-09,5.071313594933935e-09,5.041881594934931e-09
1550,3.27558281447159e-09,3.365058022878179e-09,3.4509753221769452e-09,3.5190306766232963e-09,3.5906542829365162e-09,3.697981093436488e-09,3.812423722152122e-09,3.90190927331775e-09,3.9628281240303655e-09,3.977370043232732e-09,3.9134104213640025e-09,3.696015969219944e-09,3.4500755021409452e-09,3.1256334939908492e-09,2.7405208613449763e-09,2.284063876879804e-09,2.278159999185158e-09,1.685125043956726e-09,1.581924994311482e-09,1.7249032952030242e-09,inf,1.8360776120637933e-09,1.7899489067703714e-09,1.93294789317998e-09,2.172279337235997e-09,2.6292844879299886e-09,3.232577622406566e-09,3.835891442401178e-09,4.2964648449620525e-09,4.664263698984345e-09,4.8857538837060234e-09,5.021626709140929e-09,5.061146391411372e-09,5.0756676250956715e-09,5.0626988227117834e-09,5.058364189231121e-09
